# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
590		1727		38239		3368
591		1727		38239		3368
592		1727		38239		3368
593		1727		38239		3368
594		1727		38239		3368
595		1727		38239		3368
596		1727		38239		3368
597		1727		38239		3368
598		1727		38239		3368
599		1727		38239		3368
600		1727		38239		3368
601		1727		38239		3368
602		1727		38239		3368
603		1727		38239		3368
604		1727		38239		3368
605		1727		38239		3368
606		1727		38239		3368
607		1727		38239		3368
608		1727		38239		3368
609		1727		38239		3368
610		1727		38239		3368
611		1727		38239		3368
612		1727		38239		3368
613		1727		38239		3368
614		1727		38239		3368
615		1727		38239		3368
616		1727		38239		3368
617		1727		38239		3368
618		1727		38239		3368
619		1727		38239		3368
620		1727		38239		3368
621		1727		38239		3368
622		1727		38239		3368
623		1727		38239		3368
624		1727		38239		3368
625		1727		38239		3368
626		1727		38239		3368
627		1727		38239		3368
628		1727		38239		3368
629		1727		38239		3368
630		1727		38239		3368
631		1727		38239		3368
632		1727		38239		3368
633		1727		38239		3368
634		1727		38239		3368
635		1727		38239		3368
636		1727		38239		3368
637		1727		38239		3368
638		1727		38239		3368
639		1727		38239		3368
640		1727		38239		3368
641		1727		38239		3368
642		1727		38239		3368
643		1727		38239		3368
644		1727		38239		3368
645		1727		38239		3368
646		1727		38239		3368
647		1727		38239		3368
648		1727		38239		3368
649		1727		38239		3368
650		1727		38239		3368
651		1727		38239		3368
652		1727		38239		3368
653		1727		38239		3368
654		1727		38239		3368
655		1727		38239		3368
656		1727		38239		3368
657		1727		38239		3368
658		1727		38239		3368
659		1727		38239		3368
660		1727		38239		3368
661		1727		38239		3368
662		1727		38239		3368
663		1727		38239		3368
664		1727		38239		3368
665		1727		38239		3368
666		1727		38239		3368
667		1727		38239		3368
668		1727		38239		3368
669		1727		38239		3368
670		1727		38239		3368
671		1727		38239		3368
672		1727		38239		3368
673		1727		38239		3368
674		1727		38239		3368
675		1727		38239		3368
676		1727		38239		3368
677		1727		38239		3368
678		1727		38239		3368
679		1727		38239		3368
680		1727		38239		3368
681		1727		38239		3368
682		1727		38239		3368
683		1727		38239		3368
684		1727		38239		3368
685		1727		38239		3368
686		1727		38239		3368
687		1727		38239		3368
688		1727		38239		3368
689		1727		38239		3368
690		1727		38239		3368
691		1727		38239		3368
692		1727		38239		3368
693		1727		38239		3368
694		1727		38239		3368
695		1727		38239		3368
696		1727		38239		3368
697		1727		38239		3368
698		1727		38239		3368
699		1727		38239		3368
700		1727		38239		3368
701		1727		38239		3368
702		1727		38239		3368
703		1727		38239		3368
704		1727		38239		3368
705		1727		38239		3368
706		1727		38239		3368
707		1727		38239		3368
708		1727		38239		3368
709		1727		38239		3368
710		1727		38239		3368
711		1727		38239		3368
712		1727		38239		3368
713		1727		38239		3368
714		1727		38239		3368
715		1727		38239		3368
716		1727		38239		3368
717		1727		38239		3368
718		1727		38239		3368
719		1727		38239		3368
720		1727		38239		3368
721		1727		38239		3368
722		1727		38239		3368
723		1727		38239		3368
724		1727		38239		3368
725		1727		38239		3368
726		1727		38239		3368
727		1727		38239		3368
728		1727		38239		3368
729		1727		38239		3368
730		1727		38239		3368
731		1727		38239		3368
732		1727		38239		3368
733		1727		38239		3368
734		1727		38239		3368
735		1727		38239		3368
736		1727		38239		3368
737		1727		38239		3368
738		1727		38239		3368
739		1727		38239		3368
740		1727		38239		3368
741		1727		38239		3368
742		1727		38239		3368
743		1727		38239		3368
744		1727		38239		3368
745		1727		38239		3368
746		1727		38239		3368
747		1727		38239		3368
748		1727		38239		3368
749		1727		38239		3368
750		1727		38239		3368
751		1727		38239		3368
752		1727		38239		3368
753		1727		38239		3368
754		1727		38239		3368
755		1727		38239		3368
756		1727		38239		3368
757		1727		38239		3368
758		1727		38239		3368
759		1727		38239		3368
760		1727		38239		3368
761		1727		38239		3368
762		1727		38239		3368
763		1727		38239		3368
764		1727		38239		3368
765		1727		38239		3368
766		1727		38239		3368
767		1727		38239		3368
768		1727		38239		3368
769		1727		38239		3368
770		1727		38239		3368
771		1727		38239		3368
772		1727		38239		3368
773		1727		38239		3368
774		1727		38239		3368
775		1727		38239		3368
776		1727		38239		3368
777		1727		38239		3368
778		1727		38239		3368
779		1727		38239		3368
780		1727		38239		3368
781		1727		38239		3368
782		1727		38239		3368
783		1727		38239		3368
784		1727		38239		3368
785		1727		38239		3368
786		1727		38239		3368
787		1727		38239		3368
788		1727		38239		3368
789		1727		38239		3368
790		1727		38239		3368
791		1727		38239		3368
792		1727		38239		3368
793		1727		38239		3368
794		1727		38239		3368
795		1727		38239		3368
796		1727		38239		3368
797		1727		38239		3368
798		1727		38239		3368
799		1727		38239		3368
800		1727		38239		3368
801		1727		38239		3368
802		1727		38239		3368
803		1727		38239		3368
804		1727		38239		3368
805		1727		38239		3368
806		1727		38239		3368
807		1727		38239		3368
808		1727		38239		3368
809		1727		38239		3368
810		1727		38239		3368
811		1727		38239		3368
812		1727		38239		3368
813		1727		38239		3368
814		1727		38239		3368
815		1727		38239		3368
816		1727		38239		3368
817		1727		38239		3368
818		1727		38239		3368
819		1727		38239		3368
820		1727		38239		3368
821		1727		38239		3368
822		1727		38239		3368
823		1727		38239		3368
824		1727		38239		3368
825		1727		38239		3368
826		1727		38239		3368
827		1727		38239		3368
828		1727		38239		3368
829		1727		38239		3368
830		1727		38239		3368
831		1727		38239		3368
832		1727		38239		3368
833		1727		38239		3368
834		1727		38239		3368
835		1727		38239		3368
836		1727		38239		3368
837		1727		38239		3368
838		1727		38239		3368
839		1727		38239		3368
840		1727		38239		3368
841		1727		38239		3368
842		1727		38239		3368
843		1727		38239		3368
844		1727		38239		3368
845		1727		38239		3368
846		1727		38239		3368
847		1727		38239		3368
848		1727		38239		3368
849		1727		38239		3368
850		1727		38239		3368
851		1727		38239		3368
852		1727		38239		3368
853		1727		38239		3368
854		1727		38239		3368
855		1727		38239		3368
856		1727		38239		3368
857		1727		38239		3368
858		1727		38239		3368
859		1727		38239		3368
860		1727		38239		3368
861		1727		38239		3368
862		1727		38239		3368
863		1727		38239		3368
864		1727		38239		3368
865		1727		38239		3368
866		1727		38239		3368
867		1727		38239		3368
868		1727		38239		3368
869		1727		38239		3368
870		1727		38239		3368
871		1727		38239		3368
872		1727		38239		3368
873		1727		38239		3368
874		1727		38239		3368
875		1727		38239		3368
876		1727		38239		3368
877		1727		38239		3368
878		1727		38239		3368
879		1727		38239		3368
880		1727		38239		3368
881		1727		38239		3368
882		1727		38239		3368
883		1727		38239		3368
884		1727		38239		3368
885		1727		38239		3368
886		1727		38239		3368
887		1727		38239		3368
888		1727		38239		3368
889		1727		38239		3368
890		1727		38239		3368
891		1727		38239		3368
892		1727		38239		3368
893		1727		38239		3368
894		1727		38239		3368
895		1727		38239		3368
896		1727		38239		3368
897		1727		38239		3368
898		1727		38239		3368
899		1727		38239		3368
900		1727		38239		3368
901		1727		38239		3368
902		1727		38239		3368
903		1727		38239		3368
904		1727		38239		3368
905		1727		38239		3368
906		1727		38239		3368
907		1727		38239		3368
908		1727		38239		3368
909		1727		38239		3368
910		1727		38239		3368
911		1727		38239		3368
912		1727		38239		3368
913		1727		38239		3368
914		1727		38239		3368
915		1727		38239		3368
916		1727		38239		3368
917		1727		38239		3368
918		1727		38239		3368
919		1727		38239		3368
920		1727		38239		3368
921		1727		38239		3368
922		1727		38239		3368
923		1727		38239		3368
924		1727		38239		3368
925		1727		38239		3368
926		1727		38239		3368
927		1727		38239		3368
928		1727		38239		3368
929		1727		38239		3368
930		1727		38239		3368
931		1727		38239		3368
932		1727		38239		3368
933		1727		38239		3368
934		1727		38239		3368
935		1727		38239		3368
936		1727		38239		3368
937		1727		38239		3368
938		1727		38239		3368
939		1727		38239		3368
940		1727		38239		3368
941		1727		38239		3368
942		1727		38239		3368
943		1727		38239		3368
944		1727		38239		3368
945		1727		38239		3368
946		1727		38239		3368
947		1727		38239		3368
948		1727		38239		3368
949		1727		38239		3368
950		1727		38239		3368
951		1727		38239		3368
952		1727		38239		3368
953		1727		38239		3368
954		1727		38239		3368
955		1727		38239		3368
956		1727		38239		3368
957		1727		38239		3368
958		1727		38239		3368
959		1727		38239		3368
960		1727		38239		3368
961		1727		38239		3368
962		1727		38239		3368
963		1727		38239		3368
964		1727		38239		3368
965		1727		38239		3368
966		1727		38239		3368
967		1727		38239		3368
968		1727		38239		3368
969		1727		38239		3368
970		1727		38239		3368
971		1727		38239		3368
972		1727		38239		3368
973		1727		38239		3368
974		1727		38239		3368
975		1727		38239		3368
976		1727		38239		3368
977		1727		38239		3368
978		1727		38239		3368
979		1727		38239		3368
980		1727		38239		3368
981		1727		38239		3368
982		1727		38239		3368
983		1727		38239		3368
984		1727		38239		3368
985		1727		38239		3368
986		1727		38239		3368
987		1727		38239		3368
988		1727		38239		3368
989		1727		38239		3368
990		1727		38239		3368
991		1727		38239		3368
992		1727		38239		3368
993		1727		38239		3368
994		1727		38239		3368
995		1727		38239		3368
996		1727		38239		3368
997		1727		38239		3368
998		1727		38239		3368
999		1727		38239		3368
